Date,Price,Open,High,Low,Vol.,Change %
2020-05-09,9537.9,"9,792.2","9,900.0","9,499.0",8.26K,-2.602932766930799
2020-05-10,8726.0,"9,537.7","9,557.5","8,107.4",26.50K,-8.512355969343355
2020-05-11,8555.0,"8,726.0","9,135.8","8,211.1",20.56K,-1.9596607838643143
2020-05-12,8811.4,"8,555.0","8,967.0","8,526.6",5.65K,2.9970777323202746
2020-05-13,9312.0,"8,811.4","9,403.2","8,799.5",9.89K,5.681276528134016
2020-05-14,9791.0,"9,312.0","9,937.8","9,267.5",12.87K,5.1439003436426045
2020-05-15,9313.3,"9,791.0","9,836.5","9,133.6",11.34K,-4.878970483096734
2020-05-16,9388.0,"9,313.3","9,580.0","9,224.0",4.16K,0.8020787475975233
2020-05-17,9668.2,"9,388.0","9,877.7","9,334.2",9.66K,2.9846612697060237
2020-05-18,9714.8,"9,668.2","9,941.1","9,462.4",9.20K,0.4819925115326473
2020-05-19,9770.1,"9,714.8","9,877.5","9,470.2",5.59K,0.5692345699345402
2020-05-20,9502.0,"9,770.1","9,840.6","9,305.1",9.60K,-2.7440865497794342
2020-05-21,9059.5,"9,502.0","9,564.0","8,821.4",11.34K,-4.656914333824458
2020-05-22,9162.4,"9,059.5","9,257.3","8,935.5",3.83K,1.13582427286274
2020-05-23,9174.6,"9,162.4","9,304.0","9,088.6",2.45K,0.13315288570681094
2020-05-24,8711.5,"9,174.6","9,300.0","8,700.0",6.73K,-5.047631504370765
2020-05-25,8902.0,"8,711.5","8,960.8","8,628.6",5.61K,2.186764621477355
2020-05-26,8845.5,"8,902.0","9,013.3","8,705.0",3.94K,-0.6346888339698986
2020-05-27,9210.3,"8,845.5","9,225.0","8,822.8",5.46K,4.124130914024082
2020-05-28,9589.3,"9,210.3","9,629.6","9,121.7",7.63K,4.114958253259937
2020-05-29,9426.2,"9,589.3","9,618.5","9,352.3",3.88K,-1.700854076939906
2020-05-30,9706.4,"9,426.2","9,742.0","9,338.0",6.16K,2.9725658271625877
2020-05-31,9452.1,"9,706.4","9,707.2","9,402.6",3.69K,-2.619920876947157
2020-06-01,10221.0,"9,452.1","10,390.0","9,421.8",13.43K,8.134700225346748
2020-06-02,9530.0,"10,221.0","10,242.0","9,197.4",21.47K,-6.760590940221112
2020-06-03,9672.0,"9,530.0","9,684.0","9,400.0",2.66K,1.4900314795383007
2020-06-04,9790.7,"9,672.0","9,882.1","9,477.0",4.28K,1.227253928866845
2020-06-05,9620.5,"9,790.7","9,861.8","9,620.5",3.62K,-1.738384385181868
2020-06-06,9668.4,"9,620.4","9,733.0","9,552.6",1.95K,0.49789511979625445
2020-06-07,9746.3,"9,668.4","9,814.0","9,402.3",4.71K,0.8057175954656381
2020-06-08,9783.2,"9,747.1","9,800.0","9,650.4",2.36K,0.3786052142864538
2020-06-09,9770.8,"9,784.4","9,875.9","9,582.1",3.40K,-0.1267478943495104
2020-06-10,9898.8,"9,771.9","10,004.0","9,699.3",4.46K,1.310025791132774
2020-06-11,9272.2,"9,898.8","9,972.8","9,088.6",15.78K,-6.3300602093182885
2020-06-12,9468.3,"9,272.2","9,544.0","9,246.0",5.05K,2.1149241819632625
2020-06-13,9480.8,"9,468.3","9,498.2","9,363.6",1.85K,0.1320194755130233
2020-06-14,9345.4,"9,480.9","9,486.0","9,262.0",2.69K,-1.4281495232469799
2020-06-15,9433.9,"9,344.8","9,510.0","8,914.9",10.16K,0.9469899629764411
2020-06-16,9534.4,"9,435.0","9,589.9","9,388.1",3.44K,1.065307031026408
2020-06-17,9473.3,"9,534.4","9,566.0","9,261.3",3.14K,-0.6408373888236341
2020-06-18,9400.0,"9,473.3","9,496.4","9,287.2",1.66K,-0.7737536022294211
2020-06-19,9315.5,"9,400.0","9,439.9","9,241.8",2.62K,-0.8989361702127607
2020-06-20,9371.3,"9,315.5","9,401.0","9,178.6",1.87K,0.5990016638935058
2020-06-21,9298.1,"9,371.3","9,431.1","9,292.1",1.34K,-0.7811082774001332
